"Part";"Value";"Device";"Package";"Description";"MANU";"MF";"MN";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SPICEPREFIX";"URL";
"+5V";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"+5VHUB";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"+12VSCR\";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"1WIRE";"";"53047-03";"53047-03";"CONNECTOR";"";"MOLEX";"";"530470310";"9732853";"14R5412";"";"";"";
"3V3_1";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"22";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"23";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"28";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"29";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"30";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"31";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"32";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"BT1";"CH291-1220LF";"CH291-1220LF";"CH291-1220LF";"Battery Holder, SMT, 12mm";"";"";"";"";"";"";"";"";"";
"BTN";"53047-03";"53047-03";"53047-03";"CONNECTOR";"";"MOLEX";"";"530470310";"9732853";"14R5412";"";"";"";
"C1";"0.1uf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"CL21B104KBFNNNE";"";"";"";"C";"";
"C2";"0.1uf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"CL21B104KBFNNNE";"";"";"";"C";"";
"C3";"";"CPOL-EUUD-8X10";"UD-8X10_NICHICON";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"C4";"";"CPOL-EUUD-8X10";"UD-8X10_NICHICON";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"C5";"47uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"CL31A476MPHNNNE";"";"";"";"C";"";
"C8";"0.1uf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"CL21B104KBFNNNE";"";"";"";"C";"";
"C11";"0.1uf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"CL21B104KBFNNNE";"";"";"";"C";"";
"C12";"0.1uf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"CL21B104KBFNNNE";"";"";"";"C";"";
"C14";"0.1uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"CL21B104KBFNNNE";"";"";"";"C";"";
"C15";"22uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"CL31A226KAHNNNE";"";"";"";"C";"https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL31A226KAHNNNE_22uF-226-10-25V_C12891.html";
"C16";"1uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"CL21B105KAFNNNE";"";"";"";"C";"https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics_CL21B105KAFNNNE_Samsung-Electro-Mechanics-CL21B105KAFNNNE_C116352.html";
"C17";"8.2nF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"CL21B822KBANNNC";"";"";"";"C";"https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21B822KBANNNC_8-2nF-822-10-50V_C170117.html";
"C18";"0.1uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"CL21B104KBFNNNE";"";"";"";"C";"";
"C19";"47uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"CL31A476MPHNNNE";"";"";"";"C";"";
"D1";"";"DIODE-SMB";"SMB";"DIODE";"";"";"";"";"";"";"";"";"";
"D2";"";"DIODE-SOD323-W";"SOD323-W";"DIODE";"";"";"";"";"";"";"";"";"";
"D3";"";"DIODE-SOD323-W";"SOD323-W";"DIODE";"";"";"";"";"";"";"";"";"";
"DM1";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"DP1";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"FAN2";"53047-02";"53047-02";"53047-02";"CONNECTOR";"";"MOLEX";"";"53047-0210";"9733051";"57H4701";"";"";"";
"GND";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"GNDGPS";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"GNDHUB";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"GNDSCR";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"GPIO27";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"GPS";"53047-04";"53047-04";"53047-04";"CONNECTOR";"";"WALDOM/MOLEX";"";"53047-0410";"9733060";"38C9900";"";"";"";
"I2C";"i2c";"53047-04";"53047-04";"CONNECTOR";"";"WALDOM/MOLEX";"";"53047-0410";"9733060";"38C9900";"";"";"";
"I2C_VIM";"53047-04";"53047-04";"53047-04";"CONNECTOR";"";"WALDOM/MOLEX";"";"53047-0410";"9733060";"38C9900";"";"";"";
"I2SVIM";"53047-06";"53047-06";"53047-06";"CONNECTOR";"";"";"";"";"";"";"";"";"";
"IC1";"LM1117MPX-3.3";"LM1117MPX-3.3";"SOT223";"";"";"";"";"";"";"";"";"";"";
"IC2";"BTS716G";"BTS716G";"PG-DSO-20";"Smart High-Side Power Switch Four Channels: 4 x 140mOhm staus Feedback";"";"";"";"";"unknown";"unknown";"";"";"";
"IC4";"STM32F030F4P";"STM32F030F4P";"TSSOP20-I";"ARM 32-bit Cortex™-M0 CPU";"";"";"";"";"";"";"";"";"";
"L2";"BCIHP0730-3R3M";"VLS5045EX";"VLS4045EX";"TDK VLS-EX Series, VLS5045EX Type";"";"";"TDK";"VLS5045EX-3R3N";"";"";"";"";"https://lcsc.com/product-detail/Power-Inductors_TDK_VLS5045EX-3R3N_TDK-VLS5045EX-3R3N_C307875.html";
"OC1";"PC817SMD";"PC817SMD";"DIL04SMD";"SHARP OPTO COUPLER";"";"";"";"";"";"";"";"";"";
"PC_PWR";"i2c";"53047-04";"53047-04";"CONNECTOR";"";"WALDOM/MOLEX";"";"53047-0410";"9733060";"38C9900";"";"";"";
"PWR";"JST-XH-03-PIN-LONG-PAD";"JST-XH-03-PIN-LONG-PAD";"JST-XH-03-PACKAGE-LONG-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";
"PWR_BT+";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"PWR_BT-";"";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";
"Q1";"BSS138";"BSS138";"SOT23";"Fairchild Semiconductors BSS138 N-Channel Logic Level Enhancement Mode Field Effect Transistor";"";"";"";"";"";"";"";"";"";
"R1";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"R2";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"R3";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"R4";"2.2k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"R5";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"R6";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"R7";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"R";"";
"R8";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"R";"";
"R9";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"R";"";
"R10";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
